idx,n,w,sw,ln
4294,72,184664837.41666666,6420.928695891129,15.581351700947746
4192,72,502441814.8333333,10811.83814840734,16.61974224075916
7009,70,456468814.0285714,9744.79890283987,16.17540659586179
4248,70,162282762.2,7068.71809235109,16.41455833894031
7713,70,353289066.45714283,9586.366655022246,16.488621289202182
7661,70,67802025.82857142,4774.474747647773,15.661706360691074
8393,70,283070258.17142856,8371.478090985593,16.520956091976792
6644,70,80970601.08571428,5115.284954579283,15.726488840789544
1775,70,462586731.75714284,7980.33998855602,15.722780925979574
48,70,197760336.52857143,6788.257356755011,15.655400081359677
4183,70,144699186.34285715,6718.259673037373,16.039837092806327
7672,70,171547085.87142858,7075.613089839058,16.280335815780603
7077,70,180358860.4,6687.504123400479,16.026146484583013
7669,70,211323473.85714287,7604.658282802455,16.315317623334437
1477,70,156145462.2857143,7063.219829078314,16.27652127380344
3544,70,413966571.74285716,8927.062124247293,16.16928000919744
1453,70,96068086.08571428,6226.984467952603,16.145735346432215
36,70,286046367.7714286,9515.84496796911,16.4703229474956
8340,70,134573729.64285713,5703.790597620871,15.71334480815419
1455,70,118059044.68571429,6331.816136775138,16.18287953363152
4008,70,102864482.42857143,5795.633801944699,15.87328729527012
34,70,521189693.8857143,11714.08504415861,17.048817085610466
4918,70,281095963.3857143,8379.390316509709,16.28295853237752
7022,70,161428951.35714287,6250.734483862718,15.809534115063798
7040,70,168611042.3857143,6101.214668027088,15.779927093005242
7462,70,315768264.0,8759.784038711381,16.22968690961224
90,70,375665471.95714283,8528.832749551557,16.423145576058953
6282,70,282294045.0285714,7627.498023572946,16.035478934971643
5713,70,108966147.15714286,5210.908533199454,15.563345238178206
730,70,208755739.3857143,7773.907310908054,16.149877800838645
2259,70,405852205.87142855,8057.837998739113,15.970321145099499
2248,70,220509007.2857143,5920.74442887038,15.532285653785106
9046,70,245266904.14285713,7706.568589014794,16.155451661231716
9189,70,326340822.5,8009.08847825179,16.173158388608865
5930,70,124543911.2,6391.191277278417,16.220460556148886
2169,70,262055527.9857143,8296.960281374513,16.515543629479353
7566,70,267274296.35714287,8040.626309603461,16.06785658578755
686,70,118938440.08571428,5974.7670901720085,15.982102683862045
765,70,80488701.14285715,5374.467301744273,15.583397784729328
2127,70,183872633.2142857,6398.848941609614,15.561962466912586
4349,70,83551587.3,5307.50356305877,15.777708969924811
2963,70,266197087.47142857,6960.576544776372,15.632599733637104
5581,70,284925462.3428571,8750.584984222476,16.240395524091895
6314,70,271791583.7,7014.4599684956565,15.781514784680706
9045,68,301648399.4705882,8943.661869618576,16.156755722645578
110,68,197433107.1617647,7153.839234488231,15.999460906102737
7691,68,217374924.32352942,7316.115320417762,16.28663533724506
4919,68,274299333.35294116,7716.517318865442,15.999301303767806
2970,68,111183571.66176471,5841.440893945365,15.897739913198256
136,68,268239478.88235295,9617.761499264525,16.741029702284415
5864,68,70146042.89705883,5282.297169570143,15.77486955344552
7700,68,273221827.5294118,7664.905466792585,16.24588901890366
2215,68,234116407.44117647,7520.968357106461,15.876485395019204
6973,68,113890487.4264706,6468.6602975818805,16.3337006803082
4193,68,170108787.3529412,6369.8498649153025,15.918309509327083
4941,68,52610890.61764706,4914.3050846306205,15.758706756179954
1421,68,246311725.88235295,8704.989999874493,16.531430369328298
9068,68,136493912.86764705,5794.5912942120385,15.734815243933085
2104,68,342385930.9852941,9685.498133384377,16.49722074035139
7714,68,386065047.89705884,10416.059096745681,16.618904851881297
4236,68,305471913.6764706,7888.453055058125,16.01142271025391
1410,68,80261373.0735294,4933.507585634366,15.659725510935107
1079,68,41009139.205882356,4561.009082017423,16.03517723080147
9078,68,162889850.6029412,6242.409991185878,15.691021041222093
2288,68,556364997.3088236,8908.546539694367,15.679876208291152
5569,68,343745654.0294118,8926.4044416151,15.813574851571612
7616,68,78748985.60294117,4799.196489374721,15.549499673699172
788,68,144073310.4117647,6723.783178551131,15.916115471226771
2827,68,64145779.058823526,4332.180039261003,15.470949726924077
433,68,264358212.70588234,7488.545786141532,16.094106749540565
1479,68,142422131.67647058,6633.601941752737,16.060909138397175
7139,68,236190385.80882353,7372.335107084212,15.951354370486897
8395,68,371047287.5,9030.262427013751,16.32407633741583
2817,68,293184545.7647059,7586.270020824773,16.05570506804447
6524,68,172500695.2352941,6253.5634602570935,16.150125003003115
44,68,314921157.0441176,8831.254563064964,16.532534023320565
9395,68,98315960.58823529,5788.777039757008,15.965033352598853
2148,68,259152851.6470588,8494.625478078984,16.137677152639306
5171,68,161923358.8970588,7482.950517879176,16.28698903414408
8438,68,60670792.191176474,4814.459097479534,15.718146326879799
4998,68,270854085.7794118,8083.726418646306,16.249814079664226
3502,68,261921117.8382353,8304.675307789803,16.186369137001225
1466,68,354620065.60294116,8038.594915598134,15.852839207543528
7659,68,208299628.42647058,8086.161148286072,16.51912627829487
554,66,89614198.51515152,5319.9235724214495,15.77834863949306
5600,66,160771695.5909091,6807.603669222403,16.13910218262287
7718,66,109593971.63636364,5868.679557413069,15.820024453770664
6293,66,141971147.93939394,6779.889720288878,16.31810531350564
6975,66,528526523.469697,11154.814469375828,16.610460761711266
7567,66,783044986.9848485,11406.603171022967,16.116208877531033
6271,66,754104979.6060606,13403.113012509373,16.781870670518437
7670,66,147304674.3939394,6546.480498305421,15.85566528871953
4876,66,125802394.54545455,5904.4945344042535,15.693633363735382
5622,66,331867843.1969697,8065.539246545143,16.177288850644754
5579,66,305273269.5151515,9336.15804086597,16.54886367292903
7368,66,339352239.8939394,10253.953973099278,16.60866120444398
5589,66,337524114.4848485,8515.666986153004,16.251135306805168
3489,66,269252191.72727275,7433.467476802993,16.031149231289103
7745,66,78669080.86363636,5435.698054706029,15.8060108958451
2277,66,496940810.6212121,8572.922209326434,15.963406325256239
3557,66,137500697.6060606,6179.207273738262,15.71194506036705
209,66,262028308.54545453,8160.47263434669,16.079820479458853
8362,66,202570756.4090909,6662.67915888767,15.840632178825517
3501,66,258957287.8030303,8436.220721610414,16.341929221032157
191,66,112227159.53030303,5692.378942913833,15.865533468957738
8409,66,112398904.81818181,6037.976921021603,15.960685678894782
2864,66,208269162.3939394,6889.754199635662,15.930156135603367
688,66,735783424.6666666,12291.848218306908,16.710056886805702
727,66,542567962.3787879,12328.546998333932,17.151996082033083
9099,66,287591503.6060606,8508.259517462004,16.508402422504947
3656,66,119863679.68181819,5942.944902393153,15.879750993576277
2138,66,200543125.4090909,7075.785945278299,15.794638861090492
774,66,334109054.43939394,7327.670858385434,15.711632295646403
783,66,195959933.0,6838.629965043871,15.941844487147536
2103,66,286917200.40909094,7810.737263689177,15.907182909852171
43,66,115386876.83333333,6704.239199610086,16.361548961795762
9768,66,194155837.8939394,5895.78910447471,15.700940034505166
35,66,326156056.6515151,9478.902525019656,16.547357340144057
9782,66,300459890.3333333,7379.266700959271,16.029526032789803
1422,66,228519405.5151515,8544.346987326184,16.573822528996217
3601,66,238635117.43939394,7823.487751781373,16.01671995889524
6989,66,99194691.15151516,4400.672388202209,15.29292241183201
4101,66,318891636.6666667,9415.78840777646,16.387210768458413
3804,66,284773629.54545456,8664.373236276904,16.397799792283333
3705,66,353309627.3030303,9824.21833717162,16.425815409361874
3998,66,673702282.6363636,11581.956308078663,16.304587952312076
7792,66,153367335.92424244,6693.562177350955,16.027008375956143
3854,66,264357839.65151516,6395.486763392479,15.754669905874962
7704,64,347241899.96875,7612.800695325031,15.812757147139482
6327,64,217077483.671875,7664.613369156437,15.992135073564192
9428,64,43640771.671875,3946.0773118150587,15.36221431506505
2124,64,360505692.046875,8411.817201530452,16.151347271465703
339,64,329607369.78125,9711.26230451532,16.54162981944892
6274,64,200332363.703125,7424.598126471099,15.99500155668347
2137,64,241178798.078125,7640.20896313027,15.803048034599168
55,64,327427824.25,9092.722874773182,16.610311309425576
7702,64,500384118.421875,10885.751966371365,16.67700963040385
6261,64,192792415.421875,7429.431282544307,16.165316350349748
9230,64,98587997.40625,4925.987997855376,15.471660294332548
438,64,299233459.71875,9003.190956682867,16.319959085871133
